,packed_number,year,obs
135011268,40457,2005,703
135011269,40457,2005,703
135011270,40457,2005,703
135011276,40457,2005,G96
135011277,40457,2005,G96
135011278,40457,2005,G96
135011279,40457,2005,G96
135011280,40457,2005,G96
135011281,40457,2005,G96
135011282,40457,2005,G96
135011283,40457,2005,G96
135011284,40457,2006,703
135011285,40457,2006,703
135011286,40457,2006,703
135011287,40457,2006,703
135011291,40457,2006,703
135011292,40457,2006,703
135011293,40457,2006,703
135011294,40457,2006,703
135011295,40457,2006,703
135011296,40457,2006,703
135011297,40457,2006,703
135011298,40457,2006,703
135011302,40457,2006,703
135011303,40457,2006,703
135011304,40457,2006,703
135011305,40457,2006,703
135011340,40457,2006,G96
135011341,40457,2006,G96
135011342,40457,2006,G96
135011343,40457,2006,G96
135011351,40457,2006,G96
135011352,40457,2006,G96
135011353,40457,2006,G96
135011354,40457,2006,G96
135011355,40457,2006,G96
135011356,40457,2006,G96
135011357,40457,2006,G96
135011358,40457,2006,G96
135011359,40457,2007,703
135011360,40457,2007,703
135011361,40457,2007,703
135011362,40457,2007,703
135011366,40457,2007,703
135011367,40457,2007,703
135011368,40457,2007,703
135011369,40457,2007,703
135011373,40457,2008,G96
135011374,40457,2008,G96
135011375,40457,2008,G96
135011376,40457,2008,G96
135011377,40457,2008,G96
135011378,40457,2008,G96
135011379,40457,2008,G96
135011401,40457,2009,G96
135011402,40457,2009,G96
135011403,40457,2009,G96
135011404,40457,2009,G96
135011408,40457,2009,703
135011409,40457,2009,703
135011410,40457,2009,703
135011411,40457,2009,703
135011445,40457,2009,G96
135011446,40457,2009,G96
135011447,40457,2009,G96
135011448,40457,2009,G96
135011459,40457,2009,703
135011460,40457,2009,703
135011461,40457,2009,703
135011462,40457,2009,703
135011525,40457,2010,703
135011526,40457,2010,703
135011527,40457,2010,703
135011528,40457,2010,703
135011529,40457,2010,G96
135011530,40457,2010,G96
135011531,40457,2010,G96
135011532,40457,2010,G96
135011533,40457,2010,G96
135011534,40457,2010,G96
135011535,40457,2010,G96
135011536,40457,2010,G96
135011554,40457,2011,G96
135011555,40457,2011,G96
135011556,40457,2011,G96
135013625,40458,2005,703
135013626,40458,2005,703
135013627,40458,2005,703
135013628,40458,2005,703
135013648,40458,2005,703
135013649,40458,2005,703
135013650,40458,2005,703
135013651,40458,2005,703
135013677,40458,2005,703
135013679,40458,2005,703
135013680,40458,2005,703
135013681,40458,2005,703
135013683,40458,2005,G96
135013684,40458,2005,G96
135013685,40458,2005,G96
135013686,40458,2005,G96
135013687,40458,2005,703
135013688,40458,2005,703
135013689,40458,2005,703
135013690,40458,2005,703
135013755,40458,2009,G96
135013756,40458,2009,G96
135013757,40458,2009,G96
135013758,40458,2009,G96
135013759,40458,2009,G96
135013760,40458,2009,G96
135013761,40458,2009,G96
135013762,40458,2009,G96
135013779,40458,2009,703
135013780,40458,2009,703
135013781,40458,2009,703
135013782,40458,2009,G96
135013783,40458,2009,G96
135013784,40458,2009,G96
135013785,40458,2009,G96
135013789,40458,2009,703
135013790,40458,2009,703
135013791,40458,2009,703
135013792,40458,2009,703
135013854,40458,2010,703
135013855,40458,2010,703
135013856,40458,2010,703
135013883,40458,2010,G96
135013884,40458,2010,G96
135013885,40458,2010,G96
135013886,40458,2010,G96
135013901,40458,2011,703
135013902,40458,2011,703
135013903,40458,2011,703
135013904,40458,2011,703
135013924,40458,2012,703
135013925,40458,2012,703
135013926,40458,2012,703
135013927,40458,2012,703
135013928,40458,2012,703
135013929,40458,2012,703
135013930,40458,2012,703
135013942,40458,2012,703
135013943,40458,2012,703
135013944,40458,2012,703
135013945,40458,2012,703
135013952,40458,2012,703
