"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"       (2015 XN55)",1.208,0.2535,2.96,75.92,61.50,0.902,1.51,1.33,11,5,184,0,1,27.20,,,,,,,,,,
"       (2015 XX169)",1.004,0.1851,7.60,256.28,282.40,0.818,1.19,1.01,730,0,57,,,27.40,,,,,,,,,,
"       (2015 XT378)",0.9374,0.2335,5.69,257.30,65.04,0.719,1.16,0.908,3,5,12,,,27.90,,,,,,,,,,
"       (2015 XZ378)",1.015,0.0348,2.72,87.57,108.28,0.980,1.05,1.02,21,5,35,,,27.20,,,,,,,,,,
"       (2016 BQ)",1.013,0.1404,2.26,305.63,279.10,0.871,1.16,1.02,2063,1,49,,,26.54,,,,,,,,,,
"       (2016 CH30)",0.9329,0.1785,0.49,346.26,270.16,0.766,1.10,0.901,21,5,38,,,28.00,,,,,,,,,,
"       (2016 EP84)",1.19,0.1732,0.82,287.43,195.51,0.984,1.40,1.3,79,4,58,,,27.40,,,,,,,,,,
"       (2016 FC)",1.176,0.2428,0.89,353.06,118.28,0.891,1.46,1.28,53,5,109,,,26.60,,,,,,,,,,
"       (2016 FZ12)",1.135,0.3001,1.68,348.02,107.87,0.794,1.48,1.21,2191,0,67,,,26.80,,,,,,,,,,
"       (2016 GE1)",2.065,0.5198,10.71,15.61,197.46,0.992,3.14,2.97,1098,0,127,,,26.70,,,,0.009438,,,,,,
"       (2016 HD3)",0.9194,0.2398,0.63,46.02,301.78,0.699,1.14,0.882,6,3,85,1,1,27.83,,,,,,,,,,
"       (2016 JB)",0.9092,0.1427,9.59,222.54,152.61,0.779,1.04,0.867,7,5,114,,,27.10,,,,,,,,,,
"       (2016 JB18)",1.123,0.1486,1.89,208.31,304.82,0.956,1.29,1.19,56,4,31,,,27.60,,,,,,,,,,
"       (2016 NN15)",2.069,0.5066,6.90,282.40,8.97,1.021,3.12,2.98,4,5,21,0,1,26.70,,,,,,,,,,
"       (2016 RD34)",1.046,0.0347,1.96,349.59,11.00,1.010,1.08,1.07,115,2,93,0,1,27.70,,,,0.023,,,,,,
"       (2016 TY55)",1.031,0.1532,4.21,206.91,264.40,0.873,1.19,1.05,9,5,45,,,26.90,,,,,,,,,,
"       (2016 TM56)",1.119,0.1308,2.35,213.79,126.27,0.973,1.27,1.18,42,4,162,,,26.90,0.008,,0.467,,,,,,,
"       (2016 VG)",0.9003,0.3443,9.47,223.46,306.74,0.590,1.21,0.854,5,4,56,,,26.70,,,,,,,,,,
"       (2016 WH)",1.604,0.4766,2.75,51.27,65.37,0.840,2.37,2.03,4,4,41,0,1,27.07,,,,,,,,,,
"       (2016 WD7)",1.248,0.2065,0.67,41.76,44.69,0.990,1.51,1.39,38,4,71,,,27.30,,,,,,,,,,
"       (2016 YP4)",1.281,0.2090,1.00,188.05,297.93,1.013,1.55,1.45,86,5,48,,,27.00,,,,,,,,,,
"       (2017 BR6)",0.8817,0.3347,6.68,127.90,227.00,0.587,1.18,0.828,1,5,20,,,27.90,,,,,,,,,,
"       (2017 BS32)",0.9558,0.3375,8.82,313.52,294.94,0.633,1.28,0.934,6,5,77,,,27.58,,,,0.179,,,,,,
"       (2017 DS37)",0.9382,0.1371,7.14,332.86,313.78,0.810,1.07,0.909,6,5,45,,,27.30,,,,,,,,,,
"       (2017 FZ2)",1.008,0.2637,1.81,185.71,100.14,0.742,1.27,1.01,360,1,162,0,1,26.60,,,,,,,,,,
"       (2017 FR91)",0.9071,0.3237,0.23,199.55,114.63,0.613,1.20,0.864,4,3,83,3,2,26.90,,,,,,,,,,
"       (2017 GX6)",0.953,0.0645,10.48,195.96,158.38,0.892,1.01,0.93,5,5,22,,,27.40,,,,,,,,,,
"       (2017 HG4)",0.8655,0.1841,3.00,210.46,205.76,0.706,1.02,0.805,1480,0,38,,,27.70,,,,,,,,,,
"       (2017 HU49)",0.9714,0.0552,2.62,45.67,345.80,0.918,1.03,0.957,28,4,148,,,26.50,,,,0.62,,,,,,
"       (2017 LD)",1.395,0.2778,0.07,79.18,195.77,1.007,1.78,1.65,45,4,133,,,27.50,,,,0.066,,,,,,
"       (2017 MF)",1.573,0.3683,1.37,263.17,29.52,0.994,2.15,1.97,3,5,141,,,26.60,,,,,,,,,,
"       (2017 SP21)",0.9804,0.1388,11.21,188.14,69.29,0.844,1.12,0.971,2,5,31,,,27.80,,,,,,,,,,
"       (2017 TF1)",1.256,0.1872,0.89,102.58,278.98,1.021,1.49,1.41,74,5,44,,,26.70,,,,,,,,,,
"       (2017 TA6)",1.119,0.1711,0.99,37.27,49.58,0.928,1.31,1.18,207,4,43,,,27.10,,,,,,,,,,
"       (2017 UK1)",1.044,0.2025,7.34,199.90,88.68,0.832,1.25,1.07,57,5,23,,,27.10,,,,,,,,,,
