Bolide Detection Notification: 2002-332

At 15:41:53 UT on 28 Nov 2002, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak 1.5E10 watts/steradian,
and  total radiated flash energy 4.6E10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots  below. On the intensity-time plot, one count on vertical axis corresponds to
2.35E8  watts/steradian. On the integrated intensity plot, one count represents
2.96E9 joules  radiated energy.

Peak Intensity = 1.50e+10 watts/steradian
Total Energy   = 4.67e+10 joules

Intensity=[
( 0.422, 8.86e+09),
( 0.425, 7.89e+09),
( 0.429, 7.46e+09),
( 0.432, 7.12e+09),
( 0.435, 6.31e+09),
( 0.439, 6.00e+09),
( 0.442, 6.95e+09),
( 0.446, 6.47e+09),
( 0.449, 7.85e+09),
( 0.452, 7.24e+09),
( 0.456, 6.83e+09),
( 0.459, 6.87e+09),
( 0.462, 6.77e+09),
( 0.466, 6.54e+09),
( 0.469, 6.88e+09),
( 0.472, 7.41e+09),
( 0.476, 7.23e+09),
( 0.479, 6.68e+09),
( 0.483, 7.55e+09),
( 0.486, 6.17e+09),
( 0.489, 6.25e+09),
( 0.493, 6.30e+09),
( 0.496, 5.62e+09),
( 0.500, 5.17e+09),
( 0.503, 5.20e+09),
( 0.506, 5.64e+09),
( 0.510, 5.79e+09),
( 0.513, 5.03e+09),
( 0.516, 4.67e+09),
( 0.520, 5.18e+09),
( 0.523, 5.35e+09),
( 0.526, 4.65e+09),
( 0.530, 5.41e+09),
( 0.533, 4.82e+09),
( 0.537, 3.76e+09),
( 0.540, 3.71e+09),
( 0.543, 3.31e+09),
( 0.547, 2.58e+09),
( 0.550, 2.62e+09),
( 0.554, 3.32e+09),
( 0.557, 2.92e+09),
( 0.560, 3.03e+09),
( 0.564, 3.21e+09),
( 0.567, 3.11e+09),
( 0.570, 2.91e+09),
( 0.574, 3.16e+09),
( 0.577, 2.54e+09),
( 0.580, 2.76e+09),
( 0.584, 2.53e+09),
( 0.587, 1.92e+09),
( 0.591, 1.85e+09),
( 0.594, 2.11e+09),
( 0.597, 1.48e+09),
( 0.601, 1.68e+09),
( 0.604, 1.91e+09),
( 0.608, 1.79e+09),
( 0.611, 1.59e+09),
( 0.614, 1.70e+09),
( 0.618, 7.51e+08),
( 0.621, 3.87e+08),
( 0.624, 1.47e+09),
( 0.628, 2.03e+09),
( 0.631, 2.37e+09),
( 0.634, 2.73e+09),
( 0.638, 1.54e+09),
( 0.641, 1.19e+09),
( 0.645, 2.43e+09),
( 0.648, 2.23e+09),
( 0.651, 1.32e+09),
( 0.655, 7.62e+08),
( 0.658, 7.34e+08),
( 0.662, 1.29e+09),
( 0.665, 1.32e+09),
( 0.668, 1.13e+08),
( 0.672, 6.57e+08),
( 0.675, 9.89e+08),
( 0.678, 1.46e+09),
( 0.682, 1.10e+09),
( 0.685, 2.81e+08),
( 0.688, 2.80e+08),
( 0.692, 5.61e+08),
( 0.695, 5.92e+08),
( 0.699, 7.30e+08),
( 0.702, 1.00e+09),
( 0.705, 9.36e+08),
( 0.709,-5.39e+07),
( 0.712, 9.15e+08),
( 0.716, 7.28e+08),
( 0.719, 8.08e+07),
( 0.722, 1.64e+09),
( 0.726, 1.52e+09),
( 0.729, 1.28e+09),
( 0.732, 2.85e+08),
( 0.736, 9.61e+08),
( 0.739, 1.36e+09),
( 0.742, 1.10e+09),
( 0.746, 4.75e+08),
( 0.749,-2.85e+08),
( 0.753, 1.36e+08),
( 0.756, 8.08e+07),
( 0.759, 5.33e+08),
( 0.763, 5.39e+08),
( 0.766,-2.34e+08),
( 0.770, 6.17e+08),
( 0.773, 8.61e+08),
( 0.776, 4.97e+08),
( 0.780, 4.55e+08),
( 0.783, 2.50e+08),
( 0.786, 1.57e+08),
( 0.790, 6.14e+08),
( 0.793, 1.84e+08),
( 0.796,-7.18e+07),
( 0.800, 7.61e+08),
( 0.803, 6.12e+08),
( 0.807,-1.25e+08),
( 0.810,-6.30e+08),
( 0.813,-4.48e+08),
( 0.817, 2.66e+08),
( 0.820, 9.52e+08),
( 0.824, 1.05e+09),
( 0.827, 1.36e+09),
( 0.830, 5.79e+08),
( 0.834, 3.05e+08),
( 0.837, 2.78e+08),
( 0.840, 4.25e+08),
( 0.844,-3.67e+07),
( 0.847, 3.86e+08),
( 0.850, 4.32e+08),
( 0.854, 6.53e+08),
( 0.857, 6.59e+08),
( 0.861, 5.07e+08),
( 0.864, 1.40e+08),
( 0.867, 6.72e+08),
( 0.871, 9.97e+08),
( 0.874, 1.22e+09),
( 0.878, 1.44e+09),
( 0.881, 1.05e+09),
( 0.884, 1.95e+09),
( 0.888, 2.30e+09),
( 0.891, 1.82e+09),
( 0.894, 2.00e+09),
( 0.898, 1.21e+09),
( 0.901, 1.57e+09),
( 0.904, 1.89e+09),
( 0.908, 1.05e+09),
( 0.911, 1.08e+09),
( 0.915, 7.55e+08),
( 0.918, 1.45e+09),
( 0.921, 2.38e+09),
( 0.925, 1.47e+09),
( 0.928, 1.34e+09),
( 0.932, 1.42e+09),
( 0.935, 1.84e+09),
( 0.938, 1.45e+09),
( 0.942, 1.32e+09),
( 0.945, 9.56e+08),
( 0.948, 1.42e+09),
( 0.952, 1.45e+09),
( 0.955, 8.92e+08),
( 0.958, 9.58e+08),
( 0.962, 1.04e+09),
( 0.965, 1.01e+08),
( 0.969, 5.77e+08),
( 0.972, 6.82e+08),
( 0.975, 3.26e+08),
